Type,Title,Authors,Paper_Link,PDF_Link,arXiv_Link,Category
Dataset,Towards Natural Language-Based Document Image Retrieval: New Dataset and Benchmark,"Hao Guo, Xugong Qin, Jun Jie Ou Yang, Peng Zhang, Gangyan Zeng, Yubo Li, Hailun Lin",https://openaccess.thecvf.com/content/CVPR2025/html/Guo_Towards_Natural_Language-Based_Document_Image_Retrieval_New_Dataset_and_Benchmark_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Guo_Towards_Natural_Language-Based_Document_Image_Retrieval_New_Dataset_and_Benchmark_CVPR_2025_paper.pdf,,1_Core_VDU_DocRAG
Dataset,Docopilot: Improving Multimodal Models for Document-Level Understanding,"Yuchen Duan, Zhe Chen, Yusong Hu, Weiyun Wang, Shenglong Ye, Botian Shi, Lewei Lu, Qibin Hou, Tong Lu, Hongsheng Li, Jifeng Dai, Wenhai Wang",https://openaccess.thecvf.com/content/CVPR2025/html/Duan_Docopilot_Improving_Multimodal_Models_for_Document-Level_Understanding_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Duan_Docopilot_Improving_Multimodal_Models_for_Document-Level_Understanding_CVPR_2025_paper.pdf,,1_Core_VDU_DocRAG
Dataset,Marten: Visual Question Answering with Mask Generation for Multi-modal Document Understanding,"Zining Wang, Tongkun Guan, Pei Fu, Chen Duan, Qianyi Jiang, Zhentao Guo, Shan Guo, Junfeng Luo, Wei Shen, Xiaokang Yang",https://openaccess.thecvf.com/content/CVPR2025/html/Wang_Marten_Visual_Question_Answering_with_Mask_Generation_for_Multi-modal_Document_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Wang_Marten_Visual_Question_Answering_with_Mask_Generation_for_Multi-modal_Document_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.14140,1_Core_VDU_DocRAG
Dataset,OmniDocBench: Benchmarking Diverse PDF Document Parsing with Comprehensive Annotations,"Linke Ouyang, Yuan Qu, Hongbin Zhou, Jiawei Zhu, Rui Zhang, Qunshu Lin, Bin Wang, Zhiyuan Zhao, Man Jiang, Xiaomeng Zhao, Jin Shi, Fan Wu, Pei Chu, Minghao Liu, Zhenxiang Li, Chao Xu, Bo Zhang, Botian Shi, Zhongying Tu, Conghui He",https://openaccess.thecvf.com/content/CVPR2025/html/Ouyang_OmniDocBench_Benchmarking_Diverse_PDF_Document_Parsing_with_Comprehensive_Annotations_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Ouyang_OmniDocBench_Benchmarking_Diverse_PDF_Document_Parsing_with_Comprehensive_Annotations_CVPR_2025_paper.pdf,http://arxiv.org/abs/2412.07626,1_Core_VDU_DocRAG
Dataset,MarkushGrapher: Joint Visual and Textual Recognition of Markush Structures,"Lucas Morin, Valery Weber, Ahmed Nassar, Gerhard Ingmar Meijer, Luc Van Gool, Yawei Li, Peter Staar",https://openaccess.thecvf.com/content/CVPR2025/html/Morin_MarkushGrapher_Joint_Visual_and_Textual_Recognition_of_Markush_Structures_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Morin_MarkushGrapher_Joint_Visual_and_Textual_Recognition_of_Markush_Structures_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.16096,1_Core_VDU_DocRAG
Method,VDocRAG: Retrieval-Augmented Generation over Visually-Rich Documents,"Ryota Tanaka, Taichi Iki, Taku Hasegawa, Kyosuke Nishida, Kuniko Saito, Jun Suzuki",https://openaccess.thecvf.com/content/CVPR2025/html/Tanaka_VDocRAG_Retrieval-Augmented_Generation_over_Visually-Rich_Documents_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Tanaka_VDocRAG_Retrieval-Augmented_Generation_over_Visually-Rich_Documents_CVPR_2025_paper.pdf,http://arxiv.org/abs/2504.09795,1_Core_VDU_DocRAG
Method,Document Haystacks: Vision-Language Reasoning Over Piles of 1000+ Documents,"Jun Chen, Dannong Xu, Junjie Fei, Chun-Mei Feng, Mohamed Elhoseiny",https://openaccess.thecvf.com/content/CVPR2025/html/Chen_Document_Haystacks__Vision-Language_Reasoning_Over_Piles_of_1000_Documents_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Chen_Document_Haystacks__Vision-Language_Reasoning_Over_Piles_of_1000_Documents_CVPR_2025_paper.pdf,,1_Core_VDU_DocRAG
Method,Recurrence-Enhanced Vision-and-Language Transformers for Robust Multimodal Document Retrieval,"Davide Caffagni, Sara Sarto, Marcella Cornia, Lorenzo Baraldi, Rita Cucchiara",https://openaccess.thecvf.com/content/CVPR2025/html/Caffagni_Recurrence-Enhanced_Vision-and-Language_Transformers_for_Robust_Multimodal_Document_Retrieval_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Caffagni_Recurrence-Enhanced_Vision-and-Language_Transformers_for_Robust_Multimodal_Document_Retrieval_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.01980,1_Core_VDU_DocRAG
Method,DocLayLLM: An Efficient Multi-modal Extension of Large Language Models for Text-rich Document Understanding,"Wenhui Liao, Jiapeng Wang, Hongliang Li, Chengyu Wang, Jun Huang, Lianwen Jin",https://openaccess.thecvf.com/content/CVPR2025/html/Liao_DocLayLLM_An_Efficient_Multi-modal_Extension_of_Large_Language_Models_for_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Liao_DocLayLLM_An_Efficient_Multi-modal_Extension_of_Large_Language_Models_for_CVPR_2025_paper.pdf,http://arxiv.org/abs/2408.15045,1_Core_VDU_DocRAG
Method,Adaptive Markup Language Generation for Contextually-Grounded Visual Document Understanding,"Han Xiao, Yina Xie, Guanxin Tan, Yinghao Chen, Rui Hu, Ke Wang, Aojun Zhou, Hao Li, Hao Shao, Xudong Lu, Peng Gao, Yafei Wen, Xiaoxin Chen, Shuai Ren, Hongsheng Li",https://openaccess.thecvf.com/content/CVPR2025/html/Xiao_Adaptive_Markup_Language_Generation_for_Contextually-Grounded_Visual_Document_Understanding_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Xiao_Adaptive_Markup_Language_Generation_for_Contextually-Grounded_Visual_Document_Understanding_CVPR_2025_paper.pdf,http://arxiv.org/abs/2505.05446,1_Core_VDU_DocRAG
Method,DocVLM: Make Your VLM an Efficient Reader,"Mor Shpigel Nacson, Aviad Aberdam, Roy Ganz, Elad Ben Avraham, Alona Golts, Yair Kittenplon, Shai Mazor, Ron Litman",https://openaccess.thecvf.com/content/CVPR2025/html/Nacson_DocVLM_Make_Your_VLM_an_Efficient_Reader_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Nacson_DocVLM_Make_Your_VLM_an_Efficient_Reader_CVPR_2025_paper.pdf,http://arxiv.org/abs/2412.08746,1_Core_VDU_DocRAG
Method,A Simple yet Effective Layout Token in Large Language Models for Document Understanding,"Zhaoqing Zhu, Chuwei Luo, Zirui Shao, Feiyu Gao, Hangdi Xing, Qi Zheng, Ji Zhang",https://openaccess.thecvf.com/content/CVPR2025/html/Zhu_A_Simple_yet_Effective_Layout_Token_in_Large_Language_Models_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Zhu_A_Simple_yet_Effective_Layout_Token_in_Large_Language_Models_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.18434,1_Core_VDU_DocRAG
Method,DocSAM: Unified Document Image Segmentation via Query Decomposition and Heterogeneous Mixed Learning,"Xiao-Hui Li, Fei Yin, Cheng-Lin Liu",https://openaccess.thecvf.com/content/CVPR2025/html/Li_DocSAM_Unified_Document_Image_Segmentation_via_Query_Decomposition_and_Heterogeneous_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Li_DocSAM_Unified_Document_Image_Segmentation_via_Query_Decomposition_and_Heterogeneous_CVPR_2025_paper.pdf,http://arxiv.org/abs/2504.04085,1_Core_VDU_DocRAG
Method,Relation-Rich Visual Document Generator for Visual Information Extraction,"Zi-Han Jiang, Chien-Wei Lin, Wei-Hua Li, Hsuan-Tung Liu, Yi-Ren Yeh, Chu-Song Chen",https://openaccess.thecvf.com/content/CVPR2025/html/Jiang_Relation-Rich_Visual_Document_Generator_for_Visual_Information_Extraction_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Jiang_Relation-Rich_Visual_Document_Generator_for_Visual_Information_Extraction_CVPR_2025_paper.pdf,http://arxiv.org/abs/2504.10659,1_Core_VDU_DocRAG
Method,Image Over Text: Transforming Formula Recognition Evaluation with Character Detection Matching,"Bin Wang, Fan Wu, Linke Ouyang, Zhuangcheng Gu, Rui Zhang, Renqiu Xia, Botian Shi, Bo Zhang, Conghui He",https://openaccess.thecvf.com/content/CVPR2025/html/Wang_Image_Over_Text_Transforming_Formula_Recognition_Evaluation_with_Character_Detection_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Wang_Image_Over_Text_Transforming_Formula_Recognition_Evaluation_with_Character_Detection_CVPR_2025_paper.pdf,http://arxiv.org/abs/2409.03643,1_Core_VDU_DocRAG
Dataset,SynTab-LLaVA: Enhancing Multimodal Table Understanding with Decoupled Synthesis,"Bangbang Zhou, Zuan Gao, Zixiao Wang, Boqiang Zhang, Yuxin Wang, Zhineng Chen, Hongtao Xie",https://openaccess.thecvf.com/content/CVPR2025/html/Zhou_SynTab-LLaVA_Enhancing_Multimodal_Table_Understanding_with_Decoupled_Synthesis_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Zhou_SynTab-LLaVA_Enhancing_Multimodal_Table_Understanding_with_Decoupled_Synthesis_CVPR_2025_paper.pdf,,2_Chart_Table_Slide_Diagram
